Generated Airfoil
-0.357966 0.163685
-0.361826 0.163538
-0.365739 0.163426
-0.369661 0.163250
-0.373608 0.163095
-0.377486 0.162925
-0.381430 0.162761
-0.385385 0.162600
-0.389244 0.162400
-0.393203 0.162200
-0.397049 0.162054
-0.401034 0.161856
-0.404927 0.161615
-0.408823 0.161435
-0.412689 0.161244
-0.416677 0.161003
-0.420573 0.160808
-0.424515 0.160609
-0.428370 0.160363
-0.432319 0.160144
-0.436178 0.159880
-0.440141 0.159641
-0.444026 0.159398
-0.447951 0.159088
-0.451870 0.158862
-0.455808 0.158604
-0.459713 0.158319
-0.463601 0.158070
-0.467530 0.157823
-0.471450 0.157531
-0.475405 0.157277
-0.479243 0.156979
-0.483231 0.156670
-0.487101 0.156385
-0.491040 0.156049
-0.494975 0.155743
-0.498841 0.155391
-0.502785 0.155023
-0.506678 0.154726
-0.510595 0.154347
-0.514515 0.153983
-0.518446 0.153613
-0.522382 0.153257
-0.526215 0.152924
-0.530202 0.152537
-0.534130 0.152134
-0.537998 0.151773
-0.541908 0.151368
-0.545796 0.150968
-0.549763 0.150527
-0.553682 0.150124
-0.557598 0.149684
-0.561475 0.149257
-0.565423 0.148806
-0.569339 0.148354
-0.573260 0.147935
-0.577192 0.147510
-0.581034 0.147041
-0.585017 0.146579
-0.588900 0.146147
-0.592819 0.145666
-0.596733 0.145161
-0.600670 0.144667
-0.604572 0.144125
-0.608501 0.143575
-0.612376 0.143091
-0.616285 0.142529
-0.620237 0.142014
-0.624133 0.141512
-0.628012 0.140953
-0.631985 0.140408
-0.635881 0.139873
-0.639780 0.139295
-0.643725 0.138716
-0.647640 0.138100
-0.651505 0.137511
-0.655433 0.136906
-0.659379 0.136312
-0.663256 0.135713
-0.667182 0.135065
-0.671139 0.134458
-0.675005 0.133824
-0.678924 0.133201
-0.682854 0.132566
-0.686758 0.131889
-0.690682 0.131222
-0.694615 0.130538
-0.698537 0.129803
-0.702414 0.129137
-0.706346 0.128421
-0.710257 0.127647
-0.714163 0.126909
-0.718070 0.126188
-0.721984 0.125435
-0.725917 0.124649
-0.729856 0.123925
-0.733755 0.123096
-0.737687 0.122300
-0.741579 0.121502
-0.745497 0.120693
-0.749449 0.119882
-0.753321 0.119030
-0.757253 0.118169
-0.761168 0.117372
-0.765073 0.116475
-0.768977 0.115628
-0.772899 0.114720
-0.776814 0.113830
-0.780719 0.112860
-0.784659 0.111940
-0.788569 0.110992
-0.792493 0.110077
-0.796426 0.109119
-0.800296 0.108140
-0.804205 0.107144
-0.808143 0.106150
-0.812063 0.105108
-0.815957 0.104006
-0.819886 0.102943
-0.823815 0.101868
-0.827715 0.100801
-0.831611 0.099688
-0.835544 0.098571
-0.839479 0.097452
-0.843403 0.096273
-0.847272 0.095083
-0.851211 0.093861
-0.855128 0.092629
-0.859054 0.091359
-0.862981 0.090093
-0.866888 0.088832
-0.870790 0.087512
-0.874705 0.086158
-0.878611 0.084822
-0.882530 0.083394
-0.886461 0.082009
-0.890367 0.080547
-0.894269 0.079108
-0.898190 0.077587
-0.902102 0.076076
-0.906025 0.074433
-0.909943 0.072818
-0.913849 0.071135
-0.917789 0.069433
-0.921687 0.067678
-0.925588 0.065918
-0.929507 0.064124
-0.933434 0.062248
-0.937353 0.060305
-0.941272 0.058321
-0.945186 0.056302
-0.949126 0.054211
-0.953005 0.052007
-0.956931 0.049681
-0.960837 0.047284
-0.964784 0.044780
-0.968691 0.042224
-0.972594 0.039454
-0.976503 0.036398
-0.980415 0.033206
-0.984339 0.029746
-0.988252 0.025626
-0.992173 0.020800
-0.996091 0.014069
-1.000000 0.000006
-0.996097 -0.012930
-0.992164 -0.019023
-0.988262 -0.023250
-0.984355 -0.026687
-0.980426 -0.029490
-0.976516 -0.031931
-0.972593 -0.034154
-0.968683 -0.036174
-0.964760 -0.037982
-0.960856 -0.039712
-0.956940 -0.041349
-0.953019 -0.042893
-0.949105 -0.044381
-0.945178 -0.045741
-0.941262 -0.047073
-0.937342 -0.048335
-0.933441 -0.049589
-0.929507 -0.050796
-0.925626 -0.051936
-0.921721 -0.053090
-0.917767 -0.054216
-0.913863 -0.055324
-0.909935 -0.056379
-0.906047 -0.057436
-0.902108 -0.058479
-0.898201 -0.059448
-0.894269 -0.060428
-0.890349 -0.061371
-0.886450 -0.062217
-0.882518 -0.063183
-0.878647 -0.064084
-0.874706 -0.064942
-0.870799 -0.065839
-0.866870 -0.066695
-0.862976 -0.067509
-0.859021 -0.068325
-0.855129 -0.069166
-0.851230 -0.069939
-0.847277 -0.070756
-0.843378 -0.071496
-0.839454 -0.072282
-0.835557 -0.073019
-0.831615 -0.073776
-0.827720 -0.074480
-0.823791 -0.075173
-0.819894 -0.075880
-0.815998 -0.076614
-0.812071 -0.077294
-0.808134 -0.078006
-0.804220 -0.078695
-0.800313 -0.079344
-0.796387 -0.079987
-0.792486 -0.080623
-0.788566 -0.081241
-0.784625 -0.081868
-0.780717 -0.082435
-0.776818 -0.083066
-0.772883 -0.083682
-0.768967 -0.084280
-0.765076 -0.084856
-0.761161 -0.085456
-0.757230 -0.085986
-0.753344 -0.086589
-0.749412 -0.087152
-0.745496 -0.087696
-0.741565 -0.088194
-0.737667 -0.088785
-0.733755 -0.089315
-0.729852 -0.089867
-0.725900 -0.090395
-0.722006 -0.090941
-0.718124 -0.091444
-0.714155 -0.091963
-0.710236 -0.092462
-0.706349 -0.092955
-0.702433 -0.093421
-0.698519 -0.093932
-0.694628 -0.094364
-0.690689 -0.094847
-0.686740 -0.095324
-0.682881 -0.095790
-0.678955 -0.096276
-0.675015 -0.096696
-0.671122 -0.097142
-0.667249 -0.097538
-0.663301 -0.097992
-0.659351 -0.098377
-0.655441 -0.098843
-0.651576 -0.099284
-0.647612 -0.099669
-0.643686 -0.100084
-0.639759 -0.100511
-0.635849 -0.100931
-0.631975 -0.101333
-0.628057 -0.101711
-0.624139 -0.102137
-0.620216 -0.102533
-0.616310 -0.102885
-0.612377 -0.103289
-0.608462 -0.103637
-0.604556 -0.104061
-0.600617 -0.104371
-0.596719 -0.104754
-0.592827 -0.105116
-0.588890 -0.105479
-0.584976 -0.105834
-0.581105 -0.106140
-0.577168 -0.106423
-0.573236 -0.106791
-0.569325 -0.107130
-0.565440 -0.107493
-0.561471 -0.107780
-0.557545 -0.108104
-0.553648 -0.108429
-0.549723 -0.108730
-0.545826 -0.109034
-0.541908 -0.109339
-0.537986 -0.109682
-0.534118 -0.109991
-0.530205 -0.110273
-0.526254 -0.110546
-0.522371 -0.110840
-0.518385 -0.111094
-0.514534 -0.111372
-0.510587 -0.111656
-0.506697 -0.111958
-0.502785 -0.112192
-0.498815 -0.112462
-0.494943 -0.112760
-0.491009 -0.112953
-0.487080 -0.113247
-0.483218 -0.113483
-0.479296 -0.113754
-0.475338 -0.113999
-0.471453 -0.114169
-0.467521 -0.114414
-0.463607 -0.114671
-0.459665 -0.114859
-0.455761 -0.115071
-0.451885 -0.115270
-0.447986 -0.115552
-0.444077 -0.115695
-0.440157 -0.115961
-0.436229 -0.116182
-0.432261 -0.116403
-0.428428 -0.116592
-0.424511 -0.116763
-0.420533 -0.117028
-0.416653 -0.117174
-0.412759 -0.117375
-0.408811 -0.117496
-0.404919 -0.117735
-0.401025 -0.117922
-0.397093 -0.118034
-0.393176 -0.118254
-0.389273 -0.118365
-0.385313 -0.118555
-0.381374 -0.118683
-0.377557 -0.118797
-0.373626 -0.118935
-0.369715 -0.119160
-0.365786 -0.119283
-0.361891 -0.119393
-0.357930 -0.119553
-0.354024 -0.119681
-0.350124 -0.119790
-0.346156 -0.119862
-0.342256 -0.119977
-0.338350 -0.120123
-0.334465 -0.120223
-0.330564 -0.120368
-0.326576 -0.120458
-0.322740 -0.120529
-0.318799 -0.120658
-0.314909 -0.120794
-0.310951 -0.120870
-0.307029 -0.121014
-0.303171 -0.121058
-0.299229 -0.121139
-0.295293 -0.121200
-0.291344 -0.121261
-0.287535 -0.121348
-0.283623 -0.121393
-0.279687 -0.121434
-0.275704 -0.121498
-0.271860 -0.121568
-0.267960 -0.121568
-0.263950 -0.121634
-0.260103 -0.121685
-0.256166 -0.121722
-0.252281 -0.121777
-0.248286 -0.121805
-0.244433 -0.121820
-0.240532 -0.121884
-0.236580 -0.121873
-0.232651 -0.121908
-0.228748 -0.121920
-0.224826 -0.121875
-0.220943 -0.121931
-0.217006 -0.121869
-0.213094 -0.121902
-0.209187 -0.121898
-0.205286 -0.121933
-0.201340 -0.121933
-0.197418 -0.121901
-0.193543 -0.121897
-0.189691 -0.121866
-0.185735 -0.121793
-0.181758 -0.121714
-0.177832 -0.121656
-0.173920 -0.121613
-0.170011 -0.121545
-0.166137 -0.121469
-0.162212 -0.121423
-0.158349 -0.121365
-0.154408 -0.121231
-0.150475 -0.121239
-0.146605 -0.121158
-0.142696 -0.121108
-0.138710 -0.121006
-0.134811 -0.120936
-0.130887 -0.120865
-0.126954 -0.120778
-0.123041 -0.120625
-0.119138 -0.120515
-0.115224 -0.120379
-0.111348 -0.120312
-0.107440 -0.120213
-0.103522 -0.120054
-0.099560 -0.119985
-0.095767 -0.119865
-0.091742 -0.119738
-0.087885 -0.119550
-0.083903 -0.119447
-0.080047 -0.119325
-0.076112 -0.119206
-0.072290 -0.119046
-0.068359 -0.118892
-0.064366 -0.118736
-0.060411 -0.118545
-0.056490 -0.118391
-0.052629 -0.118173
-0.048666 -0.118054
-0.044874 -0.117900
-0.040923 -0.117714
-0.037004 -0.117562
-0.033035 -0.117364
-0.029164 -0.117212
-0.025294 -0.117005
-0.021301 -0.116813
-0.017416 -0.116661
-0.013469 -0.116455
-0.009515 -0.116298
-0.005716 -0.116037
-0.001707 -0.115836
0.002195 -0.115632
0.006045 -0.115409
0.010028 -0.115174
0.013897 -0.114933
0.017753 -0.114738
0.021650 -0.114482
0.025641 -0.114248
0.029577 -0.114059
0.033496 -0.113822
0.037423 -0.113574
0.041311 -0.113347
0.045114 -0.113121
0.049112 -0.112854
0.053086 -0.112619
0.056916 -0.112322
0.060924 -0.112081
0.064746 -0.111819
0.068695 -0.111547
0.072615 -0.111245
0.076425 -0.110994
0.080456 -0.110712
0.084321 -0.110452
0.088312 -0.110183
0.092098 -0.109863
0.096046 -0.109613
0.099977 -0.109326
0.103875 -0.109079
0.107880 -0.108784
0.111767 -0.108445
0.115666 -0.108117
0.119494 -0.107835
0.123495 -0.107527
0.127392 -0.107229
0.131242 -0.106881
0.135271 -0.106522
0.139028 -0.106279
0.143009 -0.105951
0.146970 -0.105615
0.150925 -0.105286
0.154735 -0.104975
0.158692 -0.104657
0.162684 -0.104318
0.166564 -0.104004
0.170417 -0.103682
0.174372 -0.103297
0.178161 -0.102993
0.182202 -0.102642
0.185999 -0.102249
0.189991 -0.101897
0.193939 -0.101510
0.197870 -0.101204
0.201717 -0.100810
0.205602 -0.100422
0.209593 -0.100051
0.213534 -0.099738
0.217321 -0.099312
0.221316 -0.098974
0.225249 -0.098566
0.229051 -0.098224
0.233090 -0.097825
0.236941 -0.097375
0.240854 -0.097025
0.244738 -0.096586
0.248690 -0.096199
0.252544 -0.095783
0.256468 -0.095359
0.260420 -0.094987
0.264369 -0.094533
0.268273 -0.094153
0.272204 -0.093715
0.276021 -0.093331
0.280002 -0.092941
0.283880 -0.092475
0.287772 -0.092105
0.291686 -0.091666
0.295609 -0.091212
0.299614 -0.090746
0.303451 -0.090341
0.307453 -0.089878
0.311316 -0.089411
0.315183 -0.088993
0.319191 -0.088531
0.323019 -0.088081
0.326882 -0.087641
0.330773 -0.087154
0.334715 -0.086733
0.338760 -0.086280
0.342650 -0.085810
0.346448 -0.085357
0.350343 -0.084899
0.354394 -0.084382
0.358241 -0.083954
0.362153 -0.083481
0.366051 -0.082993
0.369999 -0.082487
0.373964 -0.082018
0.377851 -0.081546
0.381716 -0.081074
0.385553 -0.080583
0.389526 -0.080098
0.393453 -0.079636
0.397407 -0.079152
0.401299 -0.078677
0.405208 -0.078148
0.409126 -0.077649
0.413103 -0.077112
0.416980 -0.076644
0.420772 -0.076129
0.424841 -0.075616
0.428603 -0.075134
0.432629 -0.074622
0.436557 -0.074073
0.440372 -0.073580
0.444242 -0.073092
0.448299 -0.072587
0.452089 -0.072045
0.456012 -0.071537
0.459945 -0.071022
0.463862 -0.070517
0.467868 -0.069956
0.471743 -0.069426
0.475544 -0.068908
0.479450 -0.068410
0.483454 -0.067842
0.487464 -0.067322
0.491244 -0.066802
0.495321 -0.066246
0.499163 -0.065759
0.503116 -0.065199
0.506890 -0.064667
0.510782 -0.064145
0.514763 -0.063618
0.518602 -0.063047
0.522680 -0.062520
0.526473 -0.061963
0.530504 -0.061412
0.534407 -0.060876
0.538215 -0.060300
0.542260 -0.059784
0.546006 -0.059248
0.550031 -0.058652
0.553902 -0.058136
0.557843 -0.057604
0.561691 -0.057046
0.565560 -0.056484
0.569410 -0.055959
0.573555 -0.055390
0.577349 -0.054850
0.581334 -0.054271
0.585146 -0.053731
0.588984 -0.053204
0.593034 -0.052633
0.597011 -0.052097
0.600804 -0.051528
0.604681 -0.050942
0.608702 -0.050421
0.612511 -0.049898
0.616341 -0.049355
0.620366 -0.048803
0.624415 -0.048240
0.628127 -0.047697
0.632091 -0.047157
0.636160 -0.046610
0.639782 -0.046020
0.643858 -0.045474
0.647796 -0.044928
0.651635 -0.044407
0.655587 -0.043857
0.659528 -0.043321
0.663514 -0.042778
0.667358 -0.042213
0.671313 -0.041706
0.675250 -0.041150
0.679137 -0.040590
0.683110 -0.040060
0.686875 -0.039531
0.690728 -0.038984
0.694635 -0.038453
0.698697 -0.037868
0.702635 -0.037374
0.706537 -0.036839
0.710446 -0.036297
0.714159 -0.035778
0.718168 -0.035238
0.722096 -0.034708
0.726017 -0.034173
0.729849 -0.033626
0.733704 -0.033110
0.737666 -0.032579
0.741639 -0.032038
0.745516 -0.031552
0.749510 -0.030996
0.753498 -0.030482
0.757318 -0.029961
0.761139 -0.029459
0.765257 -0.028900
0.769064 -0.028404
0.773011 -0.027898
0.776962 -0.027378
0.780712 -0.026875
0.784755 -0.026363
0.788741 -0.025860
0.792574 -0.025354
0.796441 -0.024871
0.800278 -0.024329
0.804219 -0.023825
0.808232 -0.023349
0.812222 -0.022853
0.815994 -0.022390
0.819748 -0.021890
0.823796 -0.021422
0.827691 -0.020939
0.831615 -0.020460
0.835525 -0.019971
0.839556 -0.019514
0.843431 -0.019035
0.847220 -0.018573
0.851161 -0.018127
0.855116 -0.017675
0.859092 -0.017190
0.862882 -0.016768
0.866795 -0.016283
0.870815 -0.015851
0.874682 -0.015396
0.878581 -0.014978
0.882442 -0.014544
0.886464 -0.014128
0.890438 -0.013715
0.894369 -0.013297
0.898084 -0.012875
0.901997 -0.012463
0.906003 -0.012072
0.909835 -0.011706
0.913846 -0.011335
0.917660 -0.010968
0.921679 -0.010587
0.925600 -0.010236
0.929554 -0.009891
0.933352 -0.009574
0.937301 -0.009236
0.941235 -0.008889
0.945094 -0.008576
0.949133 -0.008255
0.952999 -0.007968
0.956938 -0.007681
0.960672 -0.007393
0.964788 -0.007102
0.968600 -0.006844
0.972461 -0.006594
0.976405 -0.006380
0.980235 -0.006125
0.984313 -0.005916
0.988174 -0.005725
0.992140 -0.005533
0.996110 -0.005350
0.999755 -0.005176
